Country	2023	2024
Japan	8.7	7.5
United States	20.1	19.8
Italy	8.5	7.3
United Kingdom	19.2	21
France	12.4	9.6
Indonesia	28.9	24
Hong Kong	6.7	6
Brazil	41.5	44.6
India	40.4	41.5
Australia	12.3	11.8
Philippines	32.1	24.4
Singapore	13.2	10.3
Canada	17.5	16.2
Germany	11.6	12.3
Turkey	36.7	28.4
Taiwan	15.8	14.4
Mexico	26.8	17.3
Thailand	11.5	10
Russia	49.2	48
United Arab Emirates	21.1	9.9
South Korea	23.2	34.8
Spain	18	13
Saudi Arabia	17.1	11.6
Malaysia	23.3	20.9
Vietnam	42.4	47.7
Switzerland	8.5	7.7
Netherlands	14.7	16.1
Qatar	22.8	12.5
Sweden	18.4	14.6
Greece	12.7	10.3
South Africa	24.5	24.1
Ukraine	43.5	36
Serbia	22.9	19.3
Colombia	40.1	34.7
Kuwait	13	7.2
Egypt	41.8	35.8
Croatia	13.6	9.8
Israel	21.6	25.3
New Zealand	23.9	19.1
Poland	20.7	17.7
China	12.1	9.5
Morocco	29	31.7
Portugal	21.8	16.9
Norway	13.6	9
Belgium	12.2	10
Austria	10.1	8.6
Lebanon	13.6	6.8
Denmark	7.3	6.8
Pakistan	42.3	35.5
Nigeria	9	12.1
Cyprus	40.7	11.3
Peru	40.5	36.2
Argentina	49.6	48.8
Czechia	31	19.7
Chile	39	36
Puerto Rico	19.2	16
Albania	16.4	17.2
Ireland	22.2	18.5
Romania	30.7	45.7
Macau	9.8	4.8
Kazakhstan	34.3	22
Azerbaijan	22.1	23.1
Finland	18.5	18.5
Dominican Republic	35.3	32.5
Lithuania	46.3	35
Panama	34.5	22.4
Georgia	30.4	23.3
Bahrain	19.3	17.4
Unknown Region	33.8	34.1
Belarus	35.9	34.3
Jordan	30.9	24.7
Hungary	33.1	30.9
Bulgaria	31.9	28.7
Ecuador	43.3	39.1
Armenia	27.6	21.5
Venezuela	44.5	37.6
Bosnia & Herzegovina	27.4	22.6
Cambodia	32.9	26.7
Tunisia	31.5	34.8
Costa Rica	27	24.2
Iran	24.1	32.6
Slovenia	28.4	24.6
Guatemala	32.1	26.4
Algeria	40.6	41
Slovakia	18	17.4
Bangladesh	44.6	39.8
Ghana	9.9	15.1
Kenya	22.1	31.5
Brunei	10.7	9.6
CÃ´te dâ€™Ivoire	16.4	20.8
Latvia	29.9	23.2
Montenegro	18.8	16
Macedonia	38.2	25.5
Moldova	35.8	28.4
Guam	10	7.7
Honduras	34	29.6
Luxembourg	9.9	8.6
Iraq	52.2	44.2
Jamaica	33.7	36.8
Estonia	22.9	19.2
Sri Lanka	36.9	42
El Salvador	35.2	32.7
Oman	34.3	30.3
Uruguay	39.9	38.4
Myanmar (Burma)	27	32.8
Uzbekistan	40.9	38.8
Kosovo	26.4	28.1
Nepal	40.8	47.8
Uganda	4.5	8
Bahamas	30.3	28.7
Maldives	15.3	17.8
Angola	19.1	27.7
Paraguay	38.1	36.2
Tanzania	10.3	14.7
Trinidad & Tobago	46.7	45.2
Senegal	26.6	31.6
Iceland	17.3	17
Malta	15.8	12.4
Kyrgyzstan	35	35
Congo - Kinshasa	3.5	7.5
Mongolia	38.5	42.5
Mauritius	20.6	24.8
Cameroon	4.2	10.5
Bolivia	48.3	40.9
Laos	46.6	36
Bhutan	14	12.7
RÃ©union	33.4	28
Barbados	48.8	42.6
Madagascar	32.4	31.7
Andorra	29.1	18.5
Zimbabwe	6.7	20.3
Nicaragua	31.3	31.1
Libya	42.1	35.9
Haiti	9.6	13.3
Jersey	17.8	13.6
Ethiopia	53.4	45.1
Rwanda	18.8	21.7
Mozambique	23.7	30
Zambia	9.6	25.7
Martinique	23.6	19.7
Bermuda	31.5	26.5
Suriname	29.9	31.3
Cayman Islands	28.6	24.7
Guyana	34.7	35.8
CuraÃ§ao	32.6	28.7
Liechtenstein	8.5	6.3
Congo - Brazzaville	9.3	19.3
Monaco	5.5	2.8
Mali	14	22.9
Guadeloupe	31.9	30
Cuba	19.2	19.4
Aruba	24	24.7
Gabon	26.5	33.3
St. BarthÃ©lemy	6.1	2.7
Botswana	31.1	29.7
Togo	13.3	28.8
Malawi	8.7	14.7
San Marino	8.5	7.2
Benin	12.8	22.7
Palestine	60.1	57.9
Antigua & Barbuda	37.2	30.6
Seychelles	40.6	37.6
Isle of Man	26.6	18.8
Turks & Caicos Islands	24.3	22.1
Belize	46.9	41.2
Syria	37.3	38.3
US Virgin Islands	24.3	13.2
Namibia	35.3	39.2
Turkmenistan	4.3	8.5
Burkina Faso	18.8	34.7
Sierra Leone	7.6	14.8
Gibraltar	15	19.7
Mauritania	27.3	29.5
Papua New Guinea	22.6	25.3
Sint Maarten	35.5	26.3
